[?1034hBID = 1.35805 , ASK = 0 , AVG = 1.35805
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806467324
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806161237
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805956692
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806274329
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805786388
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806500512
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805956692
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806526584
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806714415
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806413235
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35806677971
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35809193346
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35809623518
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807025902
BID = 1.3581 , ASK = 1.35835 , AVG = 1.3580795372
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807918404
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807899988
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35807606786
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35805956317
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35805474846
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35807265853
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806356698
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35807667413
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35807379497
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806470342
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806504539
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806356698
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806297707
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806583987
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806510004
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806640809
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806493225
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35806754453
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35807159938
BID = 1.35805 , ASK = 1.35835 , AVG = 1.35807271056
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806727797
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805469888
BID = 1.3581 , ASK = 1.35845 , AVG = 1.3580572373
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35807960149
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35808174873
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35806954571
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35806651871
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35807067957
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35806123941
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35807408117
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35806572337
BID = 1.3581 , ASK = 1.35845 , AVG = 1.35806999923
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807549964
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807663608
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807751702
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807606786
BID = 1.3581 , ASK = 1.35835 , AVG = 1.3580752131
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807663608
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807604413
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807777252
BID = 1.3581 , ASK = 1.35835 , AVG = 1.3580760927
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807890897
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807777252
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807958132
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808655857
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808385738
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808054999
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808623851
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808346363
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35809991945
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808492533
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808802435
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808242514
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808407343
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35810632084
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35809159605
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808773224
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808895185
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808582092
BID = 1.3581 , ASK = 1.3584 , AVG = 1.3580587333
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808069231
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808492533
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808367523
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808651264
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808242514
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808346858
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808180009
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807876908
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808305019
BID = 1.3581 , ASK = 1.35835 , AVG = 1.3580820248
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808367523
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808443521
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35809256653
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808065086
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808168123
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808002013
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808161538
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807749723
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808338157
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807928139
BID = 1.3581 , ASK = 1.3584 , AVG = 1.3580805118
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808338157
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807928139
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807965358
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807826957
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808210144
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807603232
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808039767
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807914303
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807816237
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807977035
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808134334
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807726106
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35808312645
BID = 1.3581 , ASK = 1.35835 , AVG = 1.35807904161
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35808026554
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806110461
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806697598
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806072513
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807177691
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807083109
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807013581
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807170166
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807013581
BID = 1.3581 , ASK = 1.3584 , AVG = 1.3580762979
BID = 1.3581 , ASK = 1.3584 , AVG = 1.3580676963
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35806928339
BID = 1.3581 , ASK = 1.3584 , AVG = 1.35807595677
BID = 1.358 , ASK = 1.3584 , AVG = 1.35805580031
BID = 1.358 , ASK = 1.3584 , AVG = 1.35806707154
